2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Intan Salero Padang,SKU-64EE3EC8,86g,7500,7500,0.00,Official Store,Shopee,Jawa Barat,Bekasi,No Promo,NULL,Goreng,Salero Padang,Single Pack,NULL,NULL,2000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-32F71393,5 pcs,17580,17580,0.00,Toko Grosir Sembako,Shopee,Banten,Tangerang,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,21
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ayam Krispi,SKU-3CD58465,88g,16300,16300,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,Goreng,Ayam Krispi,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Goreng Ala Chef Devina,SKU-03F5D1F9,93g,3520,3520,0.00,Toko Kelontong Digital,Shopee,Jawa Barat,Depok,No Promo,NULL,Goreng,NULL,Single Pack,NULL,NULL,42
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Bakso Spesial,SKU-07169ED3,77g,52100,52100,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,NULL,Kuah,Bakso Spesial,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Bhgaa Mie Sedaap Goreng Limau Dan Kuah Ayam Bawang Spicy Kari Soto Singapore Korean,SKU-57088BE2,85g,3478,3478,0.00,Official Store,Shopee,Banten,Tangerang,No Promo,NULL,Kari,NULL,Single Pack,NULL,NULL,3000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Korean Cheese Buldak Isi,SKU-7FED8B94,40 x 86g,128400,128400,0.00,Official Store,Shopee,Jawa Barat,Bandung,No Promo,NULL,Korean,Cheese Buldak,Multipack,NULL,NULL,403
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bawang Pcs,SKU-58AD2D9A,40 x 70g,121200,121200,0.00,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,NULL,Kuah,Ayam Bawang,Multipack,NULL,NULL,473
2026-05-29,Wings Group,Mie Sedaap,10/ Mie Sedaap All Varian Hemat Noodle Food,SKU-551D0355,5 pcs,19900,19900,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Selatan,Bundling,Beli Banyak Lebih Murah,NULL,NULL,Bundle,2026-05-01,2026-05-31,4
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-3E74BA4D,72g,23000,23000,0.00,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Barat,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,6
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Korean Spicy Chicken Pcs,SKU-3B8ADE30,40 pcs,128200,128200,0.00,Toko Kelontong Digital,Shopee,Jawa Barat,Bandung,No Promo,NULL,Korean,Spicy Chicken,Multipack,NULL,NULL,405
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto,SKU-0D1B4EDD,75g,16200,16200,0.00,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,NULL,Soto,NULL,Multipack,NULL,NULL,10000
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bakar Limau,SKU-3B1C2CE7,10 x 89g,35000,35000,0.00,Mitra Distributor,Shopee,Jawa Timur,Surabaya,No Promo,NULL,Goreng,Ayam Bakar Limau,Multipack,NULL,NULL,100
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ala Chef,SKU-050DE408,10 x 93g,35000,35000,0.00,Mitra Distributor,Shopee,Jawa Barat,Depok,No Promo,NULL,Goreng,NULL,Multipack,NULL,NULL,642
