brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,Sedaap Mie Instant Cup,0,7300,0,1000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Campur Isi 20 Pcs | Goreng 10 + Soto 10 | Paket Hemat Mie Instan Mix Original Murah,0,72900,0,1,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x 3 pcs,0,11000,0,959,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE GORENG 5X75 GR,0,14800,0,27,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Instant Goreng 90 gr x 2,0,7500,0,10000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Mi Instan Kari Spesial 4 x 75 gr,0,13900,0,4000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Ayam Bawang Isi 40 Pcs Mie Instan Kuah Karton,0,133000,0,3,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Mi Instan Kuah Soto 3 x 75 gr,0,10500,0,2000,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Selection Paket 3 - 10 pcs,0,11834,0,2000,Shopee,Indonesia,Bundling
Wings,MIE SEDAAP INSTAN KUAH DAN GORENG,0,3150,0,9000,Shopee,Indonesia,Satuan
Wings,MIE SEDAAP MIE INSTAN N1855,0,8711,0,0,Shopee,Indonesia,Satuan
Wings,"Mie Instan Sedaap Rasa Ayam Bawang 70g - Ecer, Praktis, Nikmat",3999,300,3699,20,Shopee,Indonesia,Satuan
Wings,Mie sedaap isi 5pcs x 90gr soto/goreng,0,16100,0,45,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Goreng Isi 10 Pcs I Sedap Goreng 90gram,0,35000,0,82,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Singapore Spicy Laksa Isi 20 Pcs | Paket Hemat Mi Sedaap Laksa Pedas Kuah | Mie Instan Laksa Murah,0,73900,0,2,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Kari Ayam 72 Gr,0,3410,0,350,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Ayam Bawang Bag 71 gr Carton (40 pcs),0,130100,0,0,Shopee,Indonesia,Grosir
Wings,40 Pcs Mie Instan Sedaap Goreng & Kuah Kartonan,0,127000,0,2,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Mie Instan Korean Spicy Soup 77 gr x 15,0,49700,0,73,Shopee,Indonesia,Satuan
Wings,Sedaap cup mi instan Singapore spicy laksa 86g,0,7500,0,19,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Ayam Bawang 1 Karton Isi 30 / 40 Mie Instan Original,0,107368,0,1,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE SOTO,0,3500,0,237,Shopee,Indonesia,Satuan
Wings,1Dus Mie Sedaap Goreng/Soto/Ayam Bawang,0,136500,0,0,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE GORENG AYAM BAKAR LIMAU 89G,0,3840,0,52,Shopee,Indonesia,Satuan
Wings,SEDAAP MIE GORENG BAG 5S,0,17800,0,37,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Semua Rasa Bumbu Spicy Gurih,0,3400,0,10000,Shopee,Indonesia,Satuan
Wings,MIE SEDAAP CUP Goreng KOREAN SPICY CHICKEN 81GR,0,7500,0,7,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Soto 2 x 75 gr,0,7200,0,8000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Mi Instan Kuah Soto 5 x 75 gr,0,16200,0,8000,Shopee,Indonesia,Bundling
Wings,Mie Sedap Goreng Kriuk 90gr Isi 5 Bungkus,0,18999,0,311,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Goreng 81 gr x3,0,14500,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE KUAH RASA SOTO MADURA 82G,0,3410,0,28,Shopee,Indonesia,Satuan
Wings,[PCS] SEDAAP MIE INSTAN CUP SELECTION SINGAPORE SPICY LAKSA 86 GR,0,7500,0,2,Shopee,Indonesia,Satuan
Wings,Sedaap Baked Mie Instan Goreng Bag 87 gr Carton (24 pcs),0,70200,0,54,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Goreng Kriuk 80gr Instan Sembako,0,3455,0,3000,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Korean Spicy Chicken Bag 87 gr x20 Free Pop Socket + Phone Strap,0,69400,0,63,Shopee,Indonesia,Satuan
Wings,MIE SedAAP GORENG INSTANT 5 pcs NOODLES MEE SEDAP MI INstan,0,22400,0,73,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Cup 4 x 85 gr,0,22100,0,4000,Shopee,Indonesia,Satuan
Wings,"( 1 Dus ) Mie Instan Sedaap Goreng / Soto / Kari / Ayam Bawang 90g - Rasa Gurih, Praktis, dan Higienis",0,147000,0,2,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Selection Mie Instan Singapore Spicy Laksa 83 gr x 15,0,49700,0,74,Shopee,Indonesia,Satuan
Wings,SEDAAP MIE KOREAN CHEESE BULDAK 86GR,0,3600,0,313,Shopee,Indonesia,Satuan
Wings,( Paket Hemat 8 Pcs) Mie Sedap Cup 85 gr X 8 (Mix Varian Goreng 4 + Kuah 4),0,44999,0,11,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Goreng 90gr x 20,0,69400,0,179,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Soto 1 Dus Isi 40 Pcs | Rasa Gurih Soto Asli Indonesia | Best Seller Grosir Murah Laris,0,122400,0,27,Shopee,Indonesia,Grosir
Wings,Mie Instant Goreng Soto Kari Sedap sedaap,0,3600,0,43,Shopee,Indonesia,Satuan
Wings,NEW ITEM NOODLE MIE SEDAAP BASO BLEDUK CUP 75g,0,7500,0,43,Shopee,Indonesia,Satuan
Wings,Paket 5pcs Mie Sedaap Kuah Dan Goreng Kenyal,0,15800,0,196,Shopee,Indonesia,Bundling
